state,city,store_url
Alabama,Pike-Road,https://www.cvs.com/store-locator/pike-road-al-pharmacies/9505-vaughn-road-pike-road-al-36064/storeid=585
Alabama,Russellville,https://www.cvs.com/store-locator/russellville-al-pharmacies/14695-hwy-43-russellville-al-35653/storeid=78
Alabama,Scottsboro,https://www.cvs.com/store-locator/scottsboro-al-pharmacies/801-s-broad-st-scottsboro-al-35768/storeid=6013
Alabama,Selma,https://www.cvs.com/store-locator/selma-al-pharmacies/520-highland-ave-selma-al-36701/storeid=4853
Alabama,Semmes,https://www.cvs.com/store-locator/semmes-al-pharmacies/9151-moffett-road-semmes-al-36575/storeid=4883
Alabama,Sylacauga,https://www.cvs.com/store-locator/sylacauga-al-pharmacies/2-n-broadway-ave-sylacauga-al-35150/storeid=4915
Alabama,Saraland,https://www.cvs.com/store-locator/saraland-al-pharmacies/24-saraland-blvd-n-saraland-al-36571/storeid=10575
Alabama,Robertsdale,https://www.cvs.com/store-locator/robertsdale-al-pharmacies/21975-hwy-59-robertsdale-al-36567/storeid=1822
Alabama,Tallassee,https://www.cvs.com/store-locator/tallassee-al-pharmacies/10-gilmer-ave-tallassee-al-36078/storeid=4943
Alabama,Troy,https://www.cvs.com/store-locator/troy-al-pharmacies/100-us-hwy-231-troy-al-36081/storeid=4858
Alabama,Trussville,https://www.cvs.com/store-locator/trussville-al-pharmacies/315-main-st-trussville-al-35173/storeid=4891
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/1218-university-blvd-tuscaloosa-al-35401/storeid=10811
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/1901-13th-ave-e-tuscaloosa-al-35404/storeid=16910
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/3302-15th-street-tuscaloosa-al-35401/storeid=4872
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/4260-university-blvd-east-tuscaloosa-al-35404/storeid=4813
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/4715-rice-mine-rd-ne-tuscaloosa-al-35406/storeid=7217
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/808-veterans-memorial-pkwy-tuscaloosa-al-35404/storeid=4819
Alabama,Tuscaloosa,https://www.cvs.com/store-locator/tuscaloosa-al-pharmacies/8700-hwy-69-south-tuscaloosa-al-35405/storeid=3004
Alabama,Tuskegee,https://www.cvs.com/store-locator/tuskegee-al-pharmacies/202-w-martin-luther-king-hwy-tuskegee-al-36083/storeid=4940
